Name,Year of Incorporation,Employee Range,Investment Stage,Sector Labels,Tags
WIZLY CORP PTE. LTD.,2021,,Pre-seed,,
DATAXET PTE. LTD.,2019,,Pre-seed,AI; SaaS; Big Data,
DATAFORCE PTE. LTD.,2017,,Pre-seed,Infotech; AI,
ENVISION DIGITAL INTERNATIONAL PTE. LTD.,2017,,Pre-seed,,
POPULSTAY PTE. LTD.,2018,,Pre-seed,,
MERCURICS PTE. LTD.,2018,,Pre-seed,,
KONGSI REALTY PTE. LTD.,2018,,Pre-seed,,
WATERPLY PTE. LTD.,2018,,Pre-seed,,
ALBATROZ THERAPEUTICS PTE. LTD.,2020,,Pre-seed,,
AIRSOIL AGRITECH PTE. LTD.,2021,,Pre-seed,,
EUGENIX PTE. LTD.,2021,,Pre-seed,,
HANSING TECHNOLOGY PTE. LTD.,2022,,Pre-seed,,
HABBY PTE. LTD.,2018,,Pre-seed,,
JOBHOP PTE. LTD.,2017,,Pre-seed,,
NATURAL TRACE PTE. LTD.,2021,,Pre-seed,,
NEPTRIX PTE. LTD.,2017,,Pre-seed,,
SHERPA TECHNOLOGY PTE. LTD.,2019,,Pre-seed,,
VESL PTE. LTD.,2017,,Pre-seed,,
SOBIE AVIATION PTE. LTD.,2019,,Pre-seed,,
10 DEGREE SOLAR PTE. LTD.,2020,,Pre-seed,,
ALCHEMO PTE. LTD.,2019,,Pre-seed,,
SCX DIGITAL PTE. LTD.,2020,,Pre-seed,,
VIGIL TECHNOLOGIES PTE. LTD.,2020,,Pre-seed,,
MTR LABS PTE. LTD.,2020,,Pre-seed,,
ADRA GLOBAL PTE. LTD.,2021,,Pre-seed,,
KLIKIT PTE. LTD.,2021,,Pre-seed,,
THESCALEGROUP PTE. LTD.,2019,,Pre-seed,,
ALTONOMY HOLDINGS PTE. LTD.,2018,,Pre-seed,,
GMR ENERGY BESS HOLDINGS PTE. LTD.,2018,,Pre-seed,,
LHN MOBILITY PTE. LTD.,2020,,Pre-seed,,
BOUNDBY PTE. LTD.,2019,,Pre-seed,,
HI-TECH SMART SOLUTIONS PTE. LTD.,2019,,Pre-seed,,
PLAI PTE. LTD.,2020,,Pre-seed,,
SUNBIRD BIO PTE. LTD.,2020,,Pre-seed,,
DSTAR COMMODITIES PTE. LTD.,2020,,Pre-seed,,
GALAPY PTE. LIMITED,2021,,Pre-seed,,
SYSWELL TECHNOLOGY PTE. LTD.,2020,,Pre-seed,,
